item_id,is_hidden,categories,timestamp,labels,comment
item_0,False,['Dresses'],2024-09-30T09:43:56.535899,"{'subcategory': 'Midi Dress', 'price': 204.64, 'color': 'Gray', 'pattern': 'Solid', 'material': 'Leather', 'brand': 'Gucci', 'condition': 'Vintage'}",Gray Solid Midi Dress by Gucci (Vintage)
item_1,False,['Outerwear'],2024-03-03T08:07:41.535899,"{'subcategory': 'Coat', 'price': 60.41, 'color': 'Gray', 'pattern': 'Striped', 'material': 'Leather', 'brand': 'Zara', 'condition': 'Like New'}",Gray Striped Coat by Zara (Like New)
item_2,False,['Accessories'],2024-01-30T11:08:48.535899,"{'subcategory': 'Belts', 'price': 238.08, 'color': 'Green', 'pattern': 'Floral', 'material': 'Denim', 'brand': 'Gucci', 'condition': 'Like New'}",Green Floral Belts by Gucci (Like New)
item_3,False,['Dresses'],2024-07-14T15:22:23.535899,"{'subcategory': 'Mini Dress', 'price': 50.77, 'color': 'White', 'pattern': 'Striped', 'material': 'Polyester', 'brand': 'Local Brand', 'condition': 'Like New'}",White Striped Mini Dress by Local Brand (Like New)
item_4,False,['Bottoms'],2024-01-08T15:02:48.535899,"{'subcategory': 'Trousers', 'price': 141.37, 'color': 'Brown', 'pattern': 'Striped', 'material': 'Polyester', 'brand': 'Prada', 'condition': 'Well Used'}",Brown Striped Trousers by Prada (Well Used)
item_5,False,['Bottoms'],2024-03-29T16:41:13.535899,"{'subcategory': 'Jeans', 'price': 36.76, 'color': 'Green', 'pattern': 'Polka Dot', 'material': 'Silk', 'brand': 'Adidas', 'condition': 'Like New'}",Green Polka Dot Jeans by Adidas (Like New)
item_6,False,['Tops'],2024-08-01T23:26:30.535899,"{'subcategory': 'T-Shirt', 'price': 38.91, 'color': 'Green', 'pattern': 'Striped', 'material': 'Denim', 'brand': 'H&M', 'condition': 'Like New'}",Green Striped T-Shirt by H&M (Like New)
item_7,False,['Tops'],2024-08-08T11:33:18.535899,"{'subcategory': 'Shirt', 'price': 193.91, 'color': 'Black', 'pattern': 'Floral', 'material': 'Wool', 'brand': 'Gucci', 'condition': 'Vintage'}",Black Floral Shirt by Gucci (Vintage)
item_8,False,['Bottoms'],2024-12-31T13:50:48.535899,"{'subcategory': 'Trousers', 'price': 133.27, 'color': 'Gray', 'pattern': 'Striped', 'material': 'Silk', 'brand': 'Gucci', 'condition': 'Gently Used'}",Gray Striped Trousers by Gucci (Gently Used)
item_9,False,['Tops'],2024-03-10T17:58:26.535899,"{'subcategory': 'T-Shirt', 'price': 18.12, 'color': 'Yellow', 'pattern': 'Animal Print', 'material': 'Wool', 'brand': 'H&M', 'condition': 'Vintage'}",Yellow Animal Print T-Shirt by H&M (Vintage)
item_10,False,['Dresses'],2024-02-11T16:59:46.535899,"{'subcategory': 'Evening Dress', 'price': 81.06, 'color': 'White', 'pattern': 'Solid', 'material': 'Wool', 'brand': 'H&M', 'condition': 'Like New'}",White Solid Evening Dress by H&M (Like New)
item_11,False,['Dresses'],2024-07-27T03:04:42.535899,"{'subcategory': 'Mini Dress', 'price': 61.58, 'color': 'Green', 'pattern': 'Plaid', 'material': 'Leather', 'brand': 'Local Brand', 'condition': 'Vintage'}",Green Plaid Mini Dress by Local Brand (Vintage)
item_12,False,['Dresses'],2024-09-28T19:16:17.535899,"{'subcategory': 'Midi Dress', 'price': 79.51, 'color': 'Purple', 'pattern': 'Solid', 'material': 'Denim', 'brand': 'Uniqlo', 'condition': 'Like New'}",Purple Solid Midi Dress by Uniqlo (Like New)
item_13,False,['Bottoms'],2024-07-08T16:36:12.535899,"{'subcategory': 'Skirt', 'price': 29.63, 'color': 'Purple', 'pattern': 'Solid', 'material': 'Linen', 'brand': 'Zara', 'condition': 'Well Used'}",Purple Solid Skirt by Zara (Well Used)
item_14,False,['Accessories'],2024-04-09T17:24:19.535899,"{'subcategory': 'Belts', 'price': 52.11, 'color': 'Gray', 'pattern': 'Plaid', 'material': 'Denim', 'brand': 'Local Brand', 'condition': 'Like New'}",Gray Plaid Belts by Local Brand (Like New)
item_15,False,['Shoes'],2024-06-12T20:11:55.535899,"{'subcategory': 'Sneakers', 'price': 48.19, 'color': 'Gray', 'pattern': 'Striped', 'material': 'Leather', 'brand': 'Uniqlo', 'condition': 'Vintage'}",Gray Striped Sneakers by Uniqlo (Vintage)
item_16,False,['Shoes'],2024-07-05T00:57:56.535899,"{'subcategory': 'Sneakers', 'price': 118.43, 'color': 'Gray', 'pattern': 'Solid', 'material': 'Leather', 'brand': ""Levi's"", 'condition': 'Like New'}",Gray Solid Sneakers by Levi's (Like New)
item_17,False,['Bottoms'],2024-04-21T11:28:05.535899,"{'subcategory': 'Trousers', 'price': 27.33, 'color': 'Yellow', 'pattern': 'Floral', 'material': 'Denim', 'brand': 'Nike', 'condition': 'Vintage'}",Yellow Floral Trousers by Nike (Vintage)
item_18,False,['Bottoms'],2024-11-20T04:23:46.535899,"{'subcategory': 'Leggings', 'price': 24.64, 'color': 'Blue', 'pattern': 'Animal Print', 'material': 'Leather', 'brand': 'Uniqlo', 'condition': 'Well Used'}",Blue Animal Print Leggings by Uniqlo (Well Used)
item_19,False,['Outerwear'],2024-11-27T05:46:59.535899,"{'subcategory': 'Cardigan', 'price': 517.73, 'color': 'Pink', 'pattern': 'Animal Print', 'material': 'Cotton', 'brand': 'Gucci', 'condition': 'Vintage'}",Pink Animal Print Cardigan by Gucci (Vintage)
item_20,False,['Dresses'],2024-07-15T22:46:38.535899,"{'subcategory': 'Mini Dress', 'price': 24.8, 'color': 'Yellow', 'pattern': 'Animal Print', 'material': 'Denim', 'brand': 'Zara', 'condition': 'Well Used'}",Yellow Animal Print Mini Dress by Zara (Well Used)
item_21,False,['Dresses'],2024-09-03T12:44:11.535899,"{'subcategory': 'Midi Dress', 'price': 351.56, 'color': 'Pink', 'pattern': 'Plaid', 'material': 'Linen', 'brand': 'Prada', 'condition': 'Vintage'}",Pink Plaid Midi Dress by Prada (Vintage)
item_22,False,['Dresses'],2024-12-24T23:37:06.535899,"{'subcategory': 'Midi Dress', 'price': 21.03, 'color': 'Black', 'pattern': 'Solid', 'material': 'Polyester', 'brand': 'Zara', 'condition': 'Well Used'}",Black Solid Midi Dress by Zara (Well Used)
